Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-25T14:55:05.914Z","Included","auto","No","4203","1562","320102","1867","327734","0.10"
"2025-10-25T14:50:42.212Z","Included","auto","No","9047","3399","120152","1148","133746","0.05"
"2025-10-25T14:46:23.036Z","Included","auto","No","21004","2876","459405","3434","486719","0.17"
"2025-10-25T13:57:35.478Z","Included","auto","No","50601","982","1318335","6523","1376441","0.43"
"2025-10-25T08:26:47.013Z","Included","auto","No","55474","3469","167820","2427","229190","0.13"
"2025-10-25T08:20:05.830Z","Included","auto","No","27357","2584","197145","4656","231742","0.11"
"2025-10-25T06:23:51.947Z","Included","auto","No","1287","1163","38697","780","41927","0.02"
"2025-10-25T06:22:44.999Z","Included","auto","No","2573","1075","17545","786","21979","0.01"
"2025-10-25T06:17:58.505Z","Included","auto","No","15662","1308","1949","1431","20350","0.03"
"2025-10-25T06:01:41.713Z","Included","auto","No","38241","4215","1959","5146","49561","0.08"
"2025-10-25T05:51:07.598Z","Included","auto","No","34654","10876","71346","15153","132029","0.17"
"2025-10-25T05:03:47.763Z","Included","auto","No","48122","1453","643819","4658","698052","0.25"
"2025-10-25T05:01:38.915Z","Included","auto","No","7939","1652","454228","3230","467049","0.14"
"2025-10-25T05:00:26.153Z","Included","auto","No","47631","1057","140620","1459","190767","0.10"
"2025-10-25T04:22:00.493Z","Included","auto","No","96132","2548","1202675","10766","1312121","0.49"
"2025-10-25T04:00:31.285Z","Included","auto","No","9784","950","53372","1635","65741","0.04"
"2025-10-25T04:00:28.370Z","Aborted, Not Charged","auto","No","0","339","0","3","342","0.000"
"2025-10-24T17:55:55.265Z","Included","auto","No","13522","944","124918","1353","140737","0.06"
"2025-10-24T17:50:45.457Z","Included","auto","No","45591","1450","321783","5843","374667","0.17"
"2025-10-24T17:42:13.932Z","Included","auto","No","35989","175328","589411","4843","805571","0.44"
"2025-10-24T17:38:22.484Z","Included","auto","No","6126","170016","1057918","3841","1237901","0.51"
"2025-10-24T17:35:50.296Z","Included","auto","No","14811","169619","335803","582","520815","0.32"
"2025-10-24T17:30:16.752Z","Included","auto","No","28662","160253","4386213","2622","4577750","1.35"
"2025-10-24T17:22:01.421Z","Included","auto","No","32585","156508","2239005","1386","2429484","0.80"
"2025-10-24T17:02:22.344Z","Included","auto","No","16235","151460","2500629","1665","2669989","0.84"
"2025-10-24T16:55:45.379Z","Included","auto","No","15906","144132","1785974","1371","1947383","0.65"
"2025-10-24T16:48:38.748Z","Included","auto","No","9702","141063","2458976","1710","2611451","0.81"
"2025-10-24T16:46:05.399Z","Included","auto","No","131971","8593","1278645","1089","1420298","0.50"
"2025-10-24T16:42:48.798Z","Included","auto","No","8772","137029","2551312","2293","2699406","0.83"
"2025-10-24T16:42:34.794Z","Included","auto","No","9525","135584","132132","200","277441","0.22"
